Date;GID;Pos;Name;Starter;DK Pts;DK Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20160101;4321;PG;Wall, John;1;51;$9,700;was;H;orl;103;91;38.97;24pt 2rb 13as 2st 1bl 5to 10-19fg 4-4ft
20160101;3891;PG;Lowry, Kyle;1;44.25;$8,200;tor;H;cha;104;94;41.28;18pt 5rb 11as 2st 6to 2trey 6-16fg 4-4ft
20160101;4363;SG;Butler, Jimmy;1;41;$7,600;chi;H;nyk;108;81;34.22;23pt 4rb 6as 1st 1bl 8-18fg 7-10ft
20160101;4440;PG;Walker, Kemba;1;38.75;$7,800;cha;A;tor;94;104;36.43;18pt 5rb 3as 4st 1bl 2to 2trey 7-21fg 2-2ft
20160101;3816;SG;Williams, Louis;1;37.5;$5,000;lal;H;phi;93;84;36.88;24pt 4rb 5as 1bl 4to 2trey 6-15fg 10-12ft
20160101;4627;SG;Oladipo, Victor;;37.25;$5,500;orl;A;was;91;103;31.15;20pt 1rb 5as 4st 1to 2trey 8-18fg 2-2ft
20160101;4092;PG;Dragic, Goran;1;36.5;$5,700;mia;H;dal;106;82;30.53;15pt 4rb 7as 3st 1to 1trey 7-12fg
20160101;3740;PG;Calderon, Jose;1;32;$3,800;nyk;A;chi;81;108;34.58;18pt 4rb 4as 1st 1to 3trey 7-9fg 1-1ft
20160101;4831;PG;McConnell, T.J.;;28;$3,400;phi;A;lal;84;93;22.55;12pt 4rb 7as 1bl 4to 1trey 5-6fg 1-2ft
20160101;4211;SG;DeRozan, DeMar;1;27;$8,000;tor;H;cha;104;94;36.65;23pt 1as 1st 1to 2trey 7-18fg 7-7ft
20160101;3760;SG;Green, Gerald;;26.75;$4,500;mia;H;dal;106;82;33.12;19pt 3rb 2as 2trey 8-13fg 1-1ft
20160101;4668;PG;Clarkson, Jordan;1;26;$5,100;lal;H;phi;93;84;33.35;19pt 2rb 3as 6-17fg 7-9ft
20160101;4020;PG;Sessions, Ramon;;25.25;$4,100;was;H;orl;103;91;27.60;13pt 5rb 4as 2to 2trey 5-10fg 1-2ft
20160101;3571;SG;Wade, Dwyane;;24;$7,000;mia;H;dal;106;82;18.78;10pt 2rb 7as 1st 2to 5-6fg
20160101;4799;PG;Russell, D'Angelo;;22.5;$4,900;lal;H;phi;93;84;25.77;6pt 4rb 5as 2st 1bl 4to 3-14fg
20160101;4036;SG;Young, Nick;;21.75;$3,400;lal;H;phi;93;84;26.40;8pt 3rb 1as 4st 1to 2trey 3-11fg
20160101;4164;SG;Matthews, Wes;1;20.5;$4,900;dal;A;mia;82;106;31.38;12pt 4rb 1as 4trey 4-9fg
20160101;4199;SG;Temple, Garrett;1;19.25;$4,700;was;H;orl;103;91;29.17;11pt 1rb 3as 1st 1trey 4-10fg 2-2ft
20160101;3814;PG;Williams, Deron;;18.75;$6,300;dal;A;mia;82;106;20.47;9pt 1rb 5as 2trey 3-9fg 1-2ft
