Date;GID;Pos;Name;Starter;DK Pts;DK Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20160118;4440;PG;Walker, Kemba;1;80.75;$7,900;cha;H;uta;124;119;46.62;52pt 9rb 8as 2st 3to 6trey 16-34fg 14-15ft
20160118;3786;PG;Paul, Chris;1;69;$9,700;lac;H;hou;140;132;42.52;28pt 6rb 12as 6st 1bl 5to 5trey 8-15fg 7-9ft
20160118;4173;PG;Curry, Stephen;1;56.25;$10,500;gsw;A;cle;132;98;28.05;35pt 5rb 4as 3st 1to 7trey 12-18fg 4-4ft
20160118;3891;PG;Lowry, Kyle;1;54.5;$8,700;tor;H;bkn;112;100;39.57;31pt 2rb 8as 3st 1to 7trey 10-13fg 4-6ft
20160118;4315;PG;Smith, Ishmael;1;52.25;$7,400;phi;A;nyk;113;119;43.85;16pt 7rb 16as 2st 4to 8-28fg 0-2ft
20160118;3861;SG;Redick, J.J.;1;48.25;$5,400;lac;H;hou;140;132;38.50;40pt 1rb 2as 1to 9trey 11-19fg 9-9ft
20160118;4211;SG;DeRozan, DeMar;1;46.5;$8,100;tor;H;bkn;112;100;33.90;30pt 4rb 5as 2st 12-25fg 6-8ft
20160118;4269;SG;Bradley, Avery;1;40.5;$5,500;bos;A;dal;113;118;42.55;19pt 8rb 5as 1st 4trey 6-16fg 3-4ft
20160118;4677;PG;Smart, Marcus;;39;$4,400;bos;A;dal;113;118;38.60;20pt 8rb 3as 2st 1to 2trey 8-13fg 2-4ft
20160118;4212;PG;Holiday, Jrue;;38;$6,100;nor;A;mem;99;101;28.95;23pt 2rb 9as 3to 1trey 9-13fg 4-4ft
20160118;3814;PG;Williams, Deron;1;36.75;$5,800;dal;H;bos;118;113;36.97;20pt 5rb 6as 1bl 3to 2trey 7-17fg 4-4ft
20160118;3970;SG;Afflalo, Arron;1;36.25;$5,200;nyk;H;phi;119;113;44.57;25pt 7rb 1st 1to 2trey 8-17fg 7-7ft
20160118;4224;SG;Harden, James;1;35.25;$9,900;hou;A;lac;132;140;40.35;20pt 3rb 8as 3to 2trey 5-12fg 8-13ft
20160118;4615;PG;Burke, Trey;;35.25;$4,900;uta;A;cha;119;124;36.60;25pt 3rb 2as 1st 3trey 10-23fg 2-3ft
20160118;4363;SG;Butler, Jimmy;1;34.75;$8,500;chi;A;det;111;101;37.47;16pt 3rb 9as 2st 5to 5-13fg 6-8ft
20160118;4420;PG;Thomas, Isaiah;1;34.5;$8,000;bos;A;dal;113;118;38.03;20pt 4rb 7as 2to 8-19fg 4-4ft
20160118;3979;PG;Conley, Mike;1;34.25;$6,200;mem;H;nor;101;99;27.13;15pt 1rb 10as 3trey 6-12fg
20160118;4321;PG;Wall, John;1;34;$9,500;was;H;por;98;108;35.53;9pt 4rb 10as 3st 3to 1trey 4-17fg
20160118;4369;PG;Jackson, Reggie;1;33.75;$7,000;det;H;chi;101;111;32.35;19pt 3rb 6as 1st 1to 1trey 8-20fg 2-3ft
20160118;4657;SG;McCollum, C.J.;1;32.5;$7,300;por;A;was;108;98;34.22;25pt 2rb 2as 2to 6trey 9-16fg 1-1ft
20160118;4435;PG;Sloan, Donald;1;31.5;$4,500;bkn;A;tor;100;112;34.47;13pt 8rb 6as 2to 1trey 4-10fg 4-4ft
20160118;4494;SG;Beal, Bradley;;28.25;$6,700;was;H;por;98;108;24.43;16pt 1rb 5as 1st 3trey 4-8fg 5-6ft
20160118;4561;SG;Crabbe, Allen;;28;$4,100;por;A;was;108;98;30.95;14pt 4rb 3as 2st 1to 2trey 6-9fg
20160118;4523;PG;Lillard, Damian;1;27.5;$9,600;por;A;was;108;98;34.08;16pt 2rb 6as 2to 2trey 7-16fg 0-1ft
20160118;3740;PG;Calderon, Jose;1;27.25;$4,400;nyk;H;phi;119;113;35.05;8pt 3rb 5as 3st 1bl 2to 2trey 2-8fg 2-2ft
20160118;4073;PG;Rose, Derrick;1;27.25;$5,800;chi;A;det;111;101;27.43;20pt 1rb 4as 1to 1trey 9-17fg 1-1ft
20160118;4616;SG;Caldwell-Pope, Kentavious;1;27.25;$5,800;det;H;chi;101;111;32.50;14pt 5rb 2as 2st 1to 1trey 6-13fg 1-1ft
20160118;3116;SG;Crawford, Jamal;;27;$4,500;lac;H;hou;140;132;36.15;17pt 5as 1st 1trey 8-15fg
20160118;4699;PG;Payton, Elfrid;1;26.5;$5,300;orl;A;atl;81;98;26.90;16pt 2rb 5as 1st 5to 2trey 7-14fg 0-3ft
20160118;4297;PG;Lin, Jeremy;;26;$4,900;cha;H;uta;124;119;36.50;9pt 6rb 5as 1st 1to 1trey 4-6fg
20160118;4110;SG;Lee, Courtney;1;25.5;$4,200;mem;H;nor;101;99;32.50;16pt 4rb 1as 1st 2trey 6-11fg 2-3ft
20160118;3976;PG;Brooks, Aaron;;25;$4,200;chi;A;det;111;101;20.57;6pt 2rb 10as 1st 1to 3-7fg
20160118;4744;SG;Hood, Rodney;1;25;$5,900;uta;A;cha;119;124;38.62;11pt 6rb 4as 1to 2trey 4-17fg 1-1ft
20160118;4199;SG;Temple, Garrett;1;24.75;$4,700;was;H;por;98;108;29.38;18pt 3rb 1as 3trey 6-10fg 3-4ft
20160118;4569;PG;Canaan, Isaiah;;24.75;$3,500;phi;A;nyk;113;119;24.18;16pt 5rb 1as 1to 3trey 4-8fg 5-6ft
20160118;4221;PG;Teague, Jeff;1;24;$5,800;atl;H;orl;98;81;23.80;14pt 4rb 2as 1st 3to 3trey 5-10fg 1-1ft
20160118;3747;SG;Felton, Raymond;;23.75;$4,300;dal;H;bos;118;113;28.80;14pt 3rb 4as 1to 1trey 6-13fg 1-1ft
20160118;4610;PG;Dellavedova, Matthew;;22.25;$3,900;cle;H;gsw;98;132;27.82;11pt 1rb 6as 1to 3trey 4-8fg
20160118;4367;SG;Thompson, Klay;1;21.25;$7,800;gsw;A;cle;132;98;25.83;15pt 1rb 2as 1st 1to 1trey 5-11fg 4-4ft
20160118;4164;SG;Matthews, Wes;1;21;$4,800;dal;H;bos;118;113;41.45;15pt 2rb 2as 2to 3trey 5-12fg 2-2ft
20160118;4318;SG;Turner, Evan;;20.25;$4,800;bos;A;dal;113;118;25.53;4pt 3rb 8as 1st 3to 2-4fg
20160118;3669;SG;Smith, J.R.;1;19.5;$5,000;cle;H;gsw;98;132;20.90;14pt 2rb 1as 1st 1to 6-9fg 2-6ft
20160118;3514;PG;Barbosa, Leandro;;19.25;$3,000;gsw;A;cle;132;98;19.13;8pt 1rb 4as 2st 3-6fg 2-2ft
20160118;4370;PG;Cole, Norris;1;19.25;$4,100;nor;A;mem;99;101;30.40;10pt 1rb 4as 2st 4to 5-12fg
20160118;4831;PG;McConnell, T.J.;;19;$3,500;phi;A;nyk;113;119;13.98;6pt 2rb 7as 3-7fg
20160118;4595;PG;Schroder, Dennis;;19;$5,200;atl;H;orl;98;81;17.85;6pt 2rb 8as 3to 3-8fg
20160118;4077;SG;Gordon, Eric;1;18.5;$5,100;nor;A;mem;99;101;37.27;10pt 2rb 3as 1st 3to 2trey 2-7fg 4-4ft
20160118;4379;PG;Irving, Kyrie;1;18.25;$6,900;cle;H;gsw;98;132;22.60;8pt 5rb 3as 2to 1trey 3-11fg 1-1ft
20160118;4549;SG;Ross, Terrence;;17.75;$3,700;tor;H;bkn;112;100;24.20;12pt 1rb 1as 1st 2trey 5-5fg
