Date,PlayerName,Position,Salary,Pts,R,A,S,T,B,FP
11-17-15,Hassan Whiteside (MIA),C,$8100,22,14,0,0,4,10,62
11-17-15,Reggie Jackson (DET),PG,$7700,23,6,12,1,5,0,50
11-17-15,Brook Lopez (BKN),C,$7100,24,10,1,1,1,3,47
11-17-15,Kemba Walker (CHA),PG,$6400,31,4,1,3,1,1,46
11-17-15,Danilo Gallinari (DEN),SF,$6200,32,8,8,0,3,0,55
11-17-15,Kristaps Porzingis (NY),PF,$5900,29,11,0,0,1,1,46.75
11-17-15,Will Barton (DEN),SG,$4700,17,7,2,1,1,2,35.75
11-17-15,Ersan Ilyasova (DET),PF,$3800,20,6,2,1,0,0,34.5
11-19-15,Rajon Rondo (SAC),PG,$8700,14,9,18,1,3,0,55.25
11-19-15,Chris Paul (LAC),PG,$8600,35,4,8,3,3,0,59
11-19-15,Chris Bosh (MIA),PF,$7300,23,11,4,0,1,1,46.75
11-19-15,Giannis Antetokounmpo (MIL),SF,$7200,33,5,2,2,0,0,46.75
11-19-15,Dwyane Wade (MIA),SG,$6400,24,5,6,2,0,0,43.25
11-19-15,Tristan Thompson (CLE),PF,$4700,12,11,1,1,2,0,29.75
11-19-15,Tyler Johnson (MIA),SG,$3600,19,3,3,1,1,0,30.25
11-19-15,Willie Cauley-Stein (SAC),C,$3200,11,5,0,0,3,2,19.75
11-22-15,Anthony Davis (NO),PF,$10700,32,19,1,2,3,4,69.75
11-22-15,Damian Lillard (POR),PG,$8700,30,6,13,2,2,1,65
11-22-15,DeAndre Jordan (LAC),C,$7300,13,15,1,1,1,5,46.25
11-22-15,Ishmael Smith (NO),PG,$6000,17,9,8,3,2,1,47.25
11-22-15,Mason Plumlee (POR),C,$5500,17,11,4,1,0,1,42.25
11-22-15,Avery Bradley (BOS),SG,$5000,27,4,1,2,2,1,42
11-22-15,Darrell Arthur (DEN),PF,$3000,21,8,0,1,1,0,33
11-22-15,Alonzo Gee (NO),SF,$3000,8,7,5,3,1,0,29.75
11-23-15,Rajon Rondo (SAC),PG,$9000,14,8,20,4,6,1,63
11-23-15,Kawhi Leonard (SA),SF,$8200,24,13,4,4,3,1,56.75
11-23-15,Andrew Wiggins (MIN),SG,$6900,32,6,3,1,2,2,49.5
11-23-15,Kemba Walker (CHA),PG,$6900,39,6,5,2,2,3,65
11-23-15,Jahlil Okafor (PHI),C,$6700,25,12,1,0,4,2,45
11-23-15,Markieff Morris (PHX),PF,$5300,28,8,4,1,6,0,44
11-23-15,Shabazz Napier (ORL),PG,$3000,11,3,9,1,0,1,32.25
11-23-15,Andrew Nicholson (ORL),PF,$3000,18,8,0,1,2,0,30.5
11-24-15,Stephen Curry (GS),PG,$10900,24,4,9,2,0,0,48.5
11-24-15,Paul George (IND),SF,$9900,40,8,4,2,4,0,61.5
11-24-15,DeAndre Jordan (LAC),C,$7400,18,11,3,1,0,4,47.75
